企业信息_行业_中文,富豪数量,财富总值_亿,平均财富_亿,代表人物,财富占比,富豪占比,财富集中度
汽车零部件,8,550.0,68.75,秦荣华,0.26,0.73,68.75
房地产、金融,3,530.0,176.66666666666666,林张素娥,0.25,0.27,176.67
网络游戏,4,520.0,130.0,徐波,0.25,0.37,130.0
电子商务、金融,1,520.0,520.0,刘强东,0.25,0.09,520.0
新零售,3,515.0,171.66666666666666,叶国富,0.24,0.27,171.67
食品饮料,1,510.0,510.0,林木勤,0.24,0.09,510.0
高压油缸,1,500.0,500.0,汪立平,0.24,0.09,500.0
基础设施建设,1,500.0,500.0,严昕,0.24,0.09,500.0
光伏材料,2,495.0,247.5,林建华,0.24,0.18,247.5
通信设备,4,490.0,122.5,王伟修,0.23,0.37,122.5
超净产品,1,480.0,480.0,裴振华,0.23,0.09,480.0
消费品,2,475.0,237.5,霍斯特·帕德威尔,0.23,0.18,237.5
汽车零部件制造,2,470.0,235.0,邬建树,0.22,0.18,235.0
电脑产品,3,460.0,153.33333333333334,刘克振,0.22,0.27,153.33
煤炭、路桥、房地产,2,460.0,230.0,郭金树,0.22,0.18,230.0
企业服务,3,440.0,146.66666666666666,彭铁缆,0.21,0.27,146.67
生物科技,3,435.0,145.0,严建亚,0.21,0.27,145.0
纺织、服装,2,433.0,216.5,马建荣,0.21,0.18,216.5
投资、房地产、教育,1,420.0,420.0,杨惠妍,0.2,0.09,420.0
零售、房地产、物流,1,415.0,415.0,沈国军,0.2,0.09,415.0
铝业、纺织、房地产,1,415.0,415.0,宋建波,0.2,0.09,415.0
房地产服务,2,411.0,205.5,朱艳,0.2,0.18,205.5
汽车制造业、房地产、农业,1,410.0,410.0,鲁伟鼎,0.2,0.09,410.0
信息服务,1,410.0,410.0,其实,0.2,0.09,410.0
钢铁、矿业、船运,2,405.0,202.5,张志祥,0.19,0.18,202.5
碳素、钢铁、煤焦,1,405.0,405.0,方威,0.19,0.09,405.0
化工、铝业、投资,3,402.0,134.0,尤小平,0.19,0.27,134.0
医药、投资,2,395.0,197.5,陈金霞,0.19,0.18,197.5
软件,2,385.0,192.5,易峥,0.18,0.18,192.5
饲料,3,380.0,126.66666666666667,薛华,0.18,0.27,126.67
印染、化纤、房地产,2,380.0,190.0,缪汉根,0.18,0.18,190.0
机械制造,4,375.0,93.75,许树根,0.18,0.37,93.75
汽车销售,4,373.0,93.25,严陈莉莲,0.18,0.37,93.25
轮胎,3,370.0,123.33333333333333,王希成,0.18,0.27,123.33
运输,2,370.0,185.0,董建成,0.18,0.18,185.0
汽车、汽车零配件,3,370.0,123.33333333333333,张兴海,0.18,0.27,123.33
传媒娱乐,2,360.0,180.0,宿华,0.17,0.18,180.0
医药、零售、投资,1,355.0,355.0,陈发树,0.17,0.09,355.0
教育,4,351.0,87.75,俞敏洪,0.17,0.37,87.75
电器零部件制造,1,350.0,350.0,张和君,0.17,0.09,350.0
房地产、航空、零售,3,345.0,115.0,王均金,0.16,0.27,115.0
银行业,3,345.0,115.0,伍步高,0.16,0.27,115.0
特种计算机,1,335.0,335.0,陈志列,0.16,0.09,335.0
金融、在线游戏、投资,1,325.0,325.0,史玉柱,0.15,0.09,325.0
人工智能芯片,1,320.0,320.0,陈天石,0.15,0.09,320.0
航空,2,320.0,160.0,王正华,0.15,0.18,160.0
有色金属,2,315.0,157.5,谢伟通,0.15,0.18,157.5
设备制造,5,315.0,63.0,陈文源,0.15,0.46,63.0
石油化工,4,308.0,77.0,李湘平,0.15,0.37,77.0
电动车,2,305.0,152.5,董经贵,0.15,0.18,152.5
煤炭,3,303.0,101.0,张双旺,0.14,0.27,101.0
声学及多媒体产品,2,301.0,150.5,姜滨,0.14,0.18,150.5
生活服务平台、电商,2,300.0,150.0,毛文超,0.14,0.18,150.0
太阳能,3,295.0,98.33333333333333,李仙德,0.14,0.27,98.33
酒业、投资,1,290.0,290.0,吴向东,0.14,0.09,290.0
地产、畜牧,1,290.0,290.0,米恩华,0.14,0.09,290.0
房地产、文化,1,290.0,290.0,王健林,0.14,0.09,290.0
航运,1,290.0,290.0,杨绍鹏,0.14,0.09,290.0
矿业,3,288.0,96.0,袁志伦,0.14,0.27,96.0
