企业信息_行业_中文,富豪数量,财富总值_亿,平均财富_亿,代表人物,财富占比,富豪占比,财富集中度
机械装备制造,1,65.0,65.0,吴波,0.03,0.09,65.0
超市零售,1,65.0,65.0,张轩松,0.03,0.09,65.0
天然气、房地产,1,65.0,65.0,欧亚平,0.03,0.09,65.0
天然气,1,65.0,65.0,明再远,0.03,0.09,65.0
重型工程用车,1,65.0,65.0,李新炎,0.03,0.09,65.0
金属增材制造,1,65.0,65.0,折生阳,0.03,0.09,65.0
烟草、房地产、白酒,1,65.0,65.0,温纯青,0.03,0.09,65.0
墙面保护装饰,1,65.0,65.0,周伟健,0.03,0.09,65.0
生活卫生产品,1,65.0,65.0,李朝旺,0.03,0.09,65.0
投资、房地产、服装,1,65.0,65.0,吕培榕,0.03,0.09,65.0
陶瓷材料,1,65.0,65.0,刘先兵,0.03,0.09,65.0
锂电池结构件,1,65.0,65.0,励建立,0.03,0.09,65.0
清洁能源装备,1,65.0,65.0,孙毅,0.03,0.09,65.0
光纤光缆,1,65.0,65.0,王建沂,0.03,0.09,65.0
医疗机械,1,65.0,65.0,熊小川,0.03,0.09,65.0
软件系统,1,63.0,63.0,褚健,0.03,0.09,63.0
物业管理,1,62.0,62.0,寿柏年,0.03,0.09,62.0
农药化肥、房地产,1,60.0,60.0,黄金祥,0.03,0.09,60.0
环保,1,60.0,60.0,李咏怡,0.03,0.09,60.0
便携储能电池、太阳能,1,60.0,60.0,孙中伟,0.03,0.09,60.0
钢结构产品,1,60.0,60.0,金鑫,0.03,0.09,60.0
殡葬服务,1,60.0,60.0,李凯莉,0.03,0.09,60.0
娱乐,1,60.0,60.0,柯利明,0.03,0.09,60.0
化学品原料,1,60.0,60.0,周旭明,0.03,0.09,60.0
电子配件,1,60.0,60.0,张清森,0.03,0.09,60.0
卫星导航,1,60.0,60.0,赵延平,0.03,0.09,60.0
摩托车,1,60.0,60.0,赖国贵,0.03,0.09,60.0
矿业开发、冶金贸易,1,60.0,60.0,李平,0.03,0.09,60.0
房地产、建筑、投资,1,60.0,60.0,苏如春,0.03,0.09,60.0
矿业、酒店,1,60.0,60.0,赵满堂,0.03,0.09,60.0
物流快递,1,60.0,60.0,李杰,0.03,0.09,60.0
空调设备,1,60.0,60.0,缪双大,0.03,0.09,60.0
投资、区块链、游戏,1,60.0,60.0,王明鎏,0.03,0.09,60.0
工业电机,1,60.0,60.0,鲁楚平,0.03,0.09,60.0
财务软件,1,60.0,60.0,徐少春,0.03,0.09,60.0
医药流通,1,60.0,60.0,刘宝林,0.03,0.09,60.0
视频弹幕网站,1,60.0,60.0,陈睿,0.03,0.09,60.0
北京,1,59.0,59.0,刘德,0.03,0.09,59.0
智能终端操作系统,1,59.0,59.0,赵鸿飞,0.03,0.09,59.0
微波电子器件,1,59.0,59.0,张亚,0.03,0.09,59.0
合金材料,1,58.0,58.0,谢识才,0.03,0.09,58.0
塑料制造、汽车配件,1,58.0,58.0,周文,0.03,0.09,58.0
淋浴设备,1,58.0,58.0,周华松,0.03,0.09,58.0
电子信息产品,1,58.0,58.0,吴凯庭,0.03,0.09,58.0
厨具、投资,1,57.0,57.0,苏增福,0.03,0.09,57.0
电子,1,57.0,57.0,钟培峰,0.03,0.09,57.0
餐饮设备,1,57.0,57.0,周俊杰,0.03,0.09,57.0
打印设备,1,55.0,55.0,汪东颖,0.03,0.09,55.0
地板,1,55.0,55.0,李建华,0.03,0.09,55.0
工业电器、房地产、投资,1,55.0,55.0,郑元豹,0.03,0.09,55.0
电子元件连接器,1,55.0,55.0,陈育宣,0.03,0.09,55.0
文娱,1,55.0,55.0,姚文琛,0.03,0.09,55.0
印刷,1,55.0,55.0,黄炳文,0.03,0.09,55.0
食品制造,1,55.0,55.0,张学武,0.03,0.09,55.0
电动工具,1,55.0,55.0,潘龙泉,0.03,0.09,55.0
电池、房地产、影视、投资,1,55.0,55.0,李缜,0.03,0.09,55.0
快速诊断试剂,1,55.0,55.0,李文美,0.03,0.09,55.0
医疗大数据、基因检测,1,55.0,55.0,王俊,0.03,0.09,55.0
财税软件,1,55.0,55.0,张镇潮,0.03,0.09,55.0
家具零售,1,55.0,55.0,黎经华,0.03,0.09,55.0
半导体器件,1,55.0,55.0,黄善兵,0.03,0.09,55.0
半导体设备,1,55.0,55.0,赵轶,0.03,0.09,55.0
专业无线通信设备,1,55.0,55.0,陈清州,0.03,0.09,55.0
通信设备元件,1,55.0,55.0,孟庆南,0.03,0.09,55.0
通信部件,1,55.0,55.0,彭浩,0.03,0.09,55.0
生活用纸,1,55.0,55.0,邓颖忠,0.03,0.09,55.0
游戏、语音软件,1,55.0,55.0,李学凌,0.03,0.09,55.0
金属结构制造业,1,55.0,55.0,商晓波,0.03,0.09,55.0
仓储物流,1,55.0,55.0,林海川,0.03,0.09,55.0
智能制造装备,1,55.0,55.0,周剑,0.03,0.09,55.0
电信运营,1,54.0,54.0,耿殿根,0.03,0.09,54.0
煤炭、热电、铝合金,1,53.0,53.0,奥凤廷,0.03,0.09,53.0
纺织材料,1,53.0,53.0,施清岛,0.03,0.09,53.0
机械电气、能源化工、房地产,1,52.0,52.0,刘海燕,0.02,0.09,52.0
塑胶产品、商业连锁、投资,1,52.0,52.0,李立新,0.02,0.09,52.0
肿瘤检测,1,52.0,52.0,朱义文,0.02,0.09,52.0
影视传媒,1,52.0,52.0,傅梅城,0.02,0.09,52.0
鞋业、地产,1,51.0,51.0,王振滔,0.02,0.09,51.0
房地产、软件园,1,50.2,50.2,孙荫环,0.02,0.09,50.2
纺织、房地产、投资,1,50.0,50.0,单建明,0.02,0.09,50.0
建筑玻璃,1,50.0,50.0,林伯实,0.02,0.09,50.0
卫星导航设备,1,50.0,50.0,周儒欣,0.02,0.09,50.0
金属回收,1,50.0,50.0,孙雁军,0.02,0.09,50.0
航空设备,1,50.0,50.0,李完小,0.02,0.09,50.0
消费电子组件,1,50.0,50.0,王春生,0.02,0.09,50.0
珠宝零售,1,50.0,50.0,黄伟常,0.02,0.09,50.0
电网自动化,1,50.0,50.0,沈国荣,0.02,0.09,50.0
计算机技术,1,50.0,50.0,韦锦坤,0.02,0.09,50.0
电缆、医药、房地产,1,50.0,50.0,蒋锡培,0.02,0.09,50.0
汽车经销,1,50.0,50.0,江黎明,0.02,0.09,50.0
高分子材料,1,50.0,50.0,陶春风,0.02,0.09,50.0
热电元件,1,50.0,50.0,张伟,0.02,0.09,50.0
太阳能电池,1,50.0,50.0,陈刚,0.02,0.09,50.0
压缩机,1,50.0,50.0,曹克坚,0.02,0.09,50.0
汽车零配件,1,50.0,50.0,周晓峰,0.02,0.09,50.0
房地产、运输,1,50.0,50.0,安治富,0.02,0.09,50.0
污水处理,1,50.0,50.0,文剑平,0.02,0.09,50.0
钢材贸易、房地产,1,50.0,50.0,付胜龙,0.02,0.09,50.0
煤炭供应链管理、房地产,1,50.0,50.0,万永兴,0.02,0.09,50.0
美妆日用品连锁店,1,50.0,50.0,陈建造,0.02,0.09,50.0
房地产、零售、制造,1,50.0,50.0,丁佐宏,0.02,0.09,50.0
制糖业,1,50.0,50.0,冯小华,0.02,0.09,50.0
建筑,1,50.0,50.0,朱兴良,0.02,0.09,50.0
充电服务,1,50.0,50.0,戴震,0.02,0.09,50.0
铜业、房地产,1,50.0,50.0,周文起,0.02,0.09,50.0
新型电子元件,1,50.0,50.0,袁金钰,0.02,0.09,50.0
橡胶制品,1,50.0,50.0,叶继跃,0.02,0.09,50.0
锂电新能源材料,1,50.0,50.0,姚雄杰,0.02,0.09,50.0
钢铁、酒店,1,50.0,50.0,赵玉乔,0.02,0.09,50.0
