前区号码,出现次数
1,3
2,4
3,4
4,3
5,7
6,4
7,6
8,5
9,4
10,6
11,3
12,6
13,1
14,2
15,4
16,3
17,6
18,2
19,2
20,7
21,7
22,11
23,3
24,2
25,7
26,5
27,4
28,8
29,6
30,7
31,7
32,3
33,5
34,6
35,2
