title,authors,conference_name,conference_year,link
Learning Dissemination Strategies for External Sources in Opinion Dynamic Models with Cognitive Biases.,"Abdullah Al Maruf, Luyao Niu, Bhaskar Ramasubramanian, Andrew Clark, Radha Poovendran","32nd IJCAI 2023:
Macao, SAR, China",2023,https://doi.org/10.24963/ijcai.2023/1
Artificial Agents Inspired by Human Motivation Psychology for Teamwork in Hazardous Environments.,"Anupama Arukgoda, Erandi Lakshika, Michael Barlow, Kasun Gunawardana","32nd IJCAI 2023:
Macao, SAR, China",2023,https://doi.org/10.24963/ijcai.2023/2
Proportionally Fair Online Allocation of Public Goods with Predictions.,"Siddhartha Banerjee, Vasilis Gkatzelis, Safwan Hossain, Billy Jin, Evi Micha, Nisarg Shah","32nd IJCAI 2023:
Macao, SAR, China",2023,https://doi.org/10.24963/ijcai.2023/3
On the Role of Memory in Robust Opinion Dynamics.,"Luca Becchetti, Andrea Clementi, Amos Korman, Francesco Pasquale, Luca Trevisan, Robin Vacus","32nd IJCAI 2023:
Macao, SAR, China",2023,https://doi.org/10.24963/ijcai.2023/4
On a Voter Model with Context-Dependent Opinion Adoption.,"Luca Becchetti, Vincenzo Bonifaci, Emilio Cruciani, Francesco Pasquale","32nd IJCAI 2023:
Macao, SAR, China",2023,https://doi.org/10.24963/ijcai.2023/5
Scalable Verification of Strategy Logic through Three-Valued Abstraction.,"Francesco Belardinelli, Angelo Ferrando, Wojciech Jamroga, Vadim Malvone, Aniello Murano","32nd IJCAI 2023:
Macao, SAR, China",2023,https://doi.org/10.24963/ijcai.2023/6
Explainable Multi-Agent Reinforcement Learning for Temporal Queries.,"Kayla Boggess, Sarit Kraus, Lu Feng","32nd IJCAI 2023:
Macao, SAR, China",2023,https://doi.org/10.24963/ijcai.2023/7
Efficient and Equitable Deployment of Mobile Vaccine Distribution Centers.,"Da Qi Chen, Ann Li, George Z. Li, Madhav V. Marathe, Aravind Srinivasan, Leonidas Tsepenekas, Anil Vullikanti","32nd IJCAI 2023:
Macao, SAR, China",2023,https://doi.org/10.24963/ijcai.2023/8
Anticipatory Fictitious Play.,"Alex Cloud, Albert Wang, Wesley Kerr","32nd IJCAI 2023:
Macao, SAR, China",2023,https://doi.org/10.24963/ijcai.2023/9
Safe Multi-agent Learning via Trapping Regions.,"Aleksander Czechowski, Frans A. Oliehoek","32nd IJCAI 2023:
Macao, SAR, China",2023,https://doi.org/10.24963/ijcai.2023/10
Multi-Agent Intention Recognition and Progression.,"Michael Dann, Yuan Yao, Natasha Alechina, Brian Logan, Felipe Meneguzzi, John Thangarajah","32nd IJCAI 2023:
Macao, SAR, China",2023,https://doi.org/10.24963/ijcai.2023/11
