title,authors,conference_name,conference_year,link
VoiceMixer: Adversarial Voice Style Mixup.,"Sang-Hoon Lee, Ji-Hoon Kim, Hyunseung Chung, Seong-Whan Lee",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/0266e33d3f546cb5436a10798e657d97-Abstract.html
Predicting What You Already Know Helps: Provable Self-Supervised Learning.,"Jason D. Lee, Qi Lei, Nikunj Saunshi, Jiacheng Zhuo",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/02e656adee09f8394b402d9958389b7d-Abstract.html
Oracle Complexity in Nonsmooth Nonconvex Optimization.,"Guy Kornowski, Ohad Shamir",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/030e65da2b1c944090548d36b244b28d-Abstract.html
CentripetalText: An Efficient Text Instance Representation for Scene Text Detection.,"Tao Sheng, Jie Chen, Zhouhui Lian",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/03227b950778ab86436ff79fe975b596-Abstract.html
Learning to Select Exogenous Events for Marked Temporal Point Process.,"Ping Zhang, Rishabh K. Iyer, Ashish Tendulkar, Gaurav Aggarwal, Abir De",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/032abcd424b4312e7087f434ef1c0094-Abstract.html
DRIVE: One-bit Distributed Mean Estimation.,"Shay Vargaftik, Ran Ben-Basat, Amit Portnoy, Gal Mendelson, Yaniv Ben-Itzhak, Michael Mitzenmacher",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/0397758f8990c1b41b81b43ac389ab9f-Abstract.html
Learning Space Partitions for Path Planning.,"Kevin Yang, Tianjun Zhang, Chris Cummins, Brandon Cui, Benoit Steiner, Linnan Wang, Joseph E. Gonzalez, Dan Klein, Yuandong Tian",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/03a3655fff3e9bdea48de9f49e938e32-Abstract.html
Progressive Feature Interaction Search for Deep Sparse Network.,"Chen Gao, Yinfeng Li, Quanming Yao, Depeng Jin, Yong Li",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/03b2ceb73723f8b53cd533e4fba898ee-Abstract.html
Local Explanation of Dialogue Response Generation.,"Yi-Lin Tuan, Connor Pryor, Wenhu Chen, Lise Getoor, William Yang Wang",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/03b92cd507ff5870df0db7f074728830-Abstract.html
Scalable Inference in SDEs by Direct Matching of the Fokker-Planck-Kolmogorov Equation.,"Arno Solin, Ella Tamir, Prakhar Verma",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/03e4d3f831100d4355663f3d425d716b-Abstract.html
The Complexity of Bayesian Network Learning: Revisiting the Superstructure.,"Robert Ganian, Viktoriia Korchemna",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/040a99f23e8960763e680041c601acab-Abstract.html
Fast Tucker Rank Reduction for Non-Negative Tensors Using Mean-Field Approximation.,"Kazu Ghalamkari, Mahito Sugiyama",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/040ca38cefb1d9226d79c05dd25469cb-Abstract.html
Learning Stochastic Majority Votes by Minimizing a PAC-Bayes Generalization Bound.,"Valentina Zantedeschi, Paul Viallard, Emilie Morvant, Rémi Emonet, Amaury Habrard, Pascal Germain, Benjamin Guedj",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/0415740eaa4d9decbc8da001d3fd805f-Abstract.html
Numerical influence of ReLU'(0) on backpropagation.,"David Bertoin, Jérôme Bolte, Sébastien Gerchinovitz, Edouard Pauwels",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/043ab21fc5a1607b381ac3896176dac6-Abstract.html
A Contrastive Learning Approach for Training Variational Autoencoder Priors.,"Jyoti Aneja, Alexander G. Schwing, Jan Kautz, Arash Vahdat",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/0496604c1d80f66fbeb963c12e570a26-Abstract.html
What training reveals about neural network complexity.,"Andreas Loukas, Marinos Poiitis, Stefanie Jegelka",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/04a1bf2d968f1ce381cf1f9184a807a9-Abstract.html
