title,authors,conference_name,conference_year,link
An Algorithm for Multi-Attribute Diverse Matching.,"Saba Ahmadi, Faez Ahmed, John P. Dickerson, Mark D. Fuge, Samir Khuller","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/1
Intention Progression under Uncertainty.,"Yuan Yao, Natasha Alechina, Brian Logan, John Thangarajah","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/2
"Social Ranking Manipulability for the CP-Majority, Banzhaf and Lexicographic Excellence Solutions.","Tahar Allouche, Bruno Escoffier, Stefano Moretti, Meltem Öztürk","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/3
Maximum Nash Welfare and Other Stories About EFX.,"Georgios Amanatidis, Georgios Birmpas, Aris Filos-Ratsikas, Alexandros Hollender, Alexandros A. Voudouris","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/4
Speeding Up Incomplete GDL-based Algorithms for Multi-agent Optimization with Dense Local Utilities.,"Yanchen Deng, Bo An","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/5
Almost Group Envy-free Allocation of Indivisible Goods and Chores.,"Haris Aziz, Simon Rey","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/6
Uniform Welfare Guarantees Under Identical Subadditive Valuations.,"Siddharth Barman, Ranjani G. Sundaram","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/7
Biased Opinion Dynamics: When the Devil is in the Details.,"Aris Anagnostopoulos, Luca Becchetti, Emilio Cruciani, Francesco Pasquale, Sara Rizzo","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/8
Formalizing Group and Propagated Trust in Multi-Agent Systems.,"Nagat Drawel, Jamal Bentahar, Amine Laarej, Gaith Rjoub","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/9
Fine-Grained View on Bribery for Group Identification.,"Niclas Boehmer, Robert Bredereck, Dusan Knop, Junjie Luo","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/10
Evaluating Approval-Based Multiwinner Voting in Terms of Robustness to Noise.,"Ioannis Caragiannis, Christos Kaklamanis, Nikos Karanikolas, George A. Krimpas","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/11
Decentralized MCTS via Learned Teammate Models.,"Aleksander Czechowski, Frans A. Oliehoek","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/12
On the Complexity of Winner Verification and Candidate Winner for Multiwinner Voting Rules.,"Chinmay Sonar, Palash Dey, Neeldhara Misra","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/13
Stable Roommate Problem with Diversity Preferences.,"Niclas Boehmer, Edith Elkind","29th IJCAI 2020: [Yokohama, Japan, postponed]",2020,https://doi.org/10.24963/ijcai.2020/14
