title,authors,conference_name,conference_year,link
Probabilistic Inference in Language Models via Twisted Sequential Monte Carlo.,"Stephen Zhao, Rob Brekelmans, Alireza Makhzani, Roger Baker Grosse","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=frA0NNBS1n
Position: Open-Endedness is Essential for Artificial Superhuman Intelligence.,"Edward Hughes, Michael D. Dennis, Jack Parker-Holder, Feryal M. P. Behbahani, Aditi Mavalankar, Yuge Shi, Tom Schaul, Tim Rocktäschel","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=Bc4vZ2CX7E
Stop Regressing: Training Value Functions via Classification for Scalable Deep RL.,"Jesse Farebrother, Jordi Orbay, Quan Vuong, Adrien Ali Taïga, Yevgen Chebotar, Ted Xiao, Alex Irpan, Sergey Levine, Pablo Samuel Castro, Aleksandra Faust, Aviral Kumar, Rishabh Agarwal","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=dVpFKfqF3R
Improving Transformers with Dynamically Composable Multi-Head Attention.,"Da Xiao, Qingye Meng, Shengping Li, Xingyuan Yuan","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=RbiBKPtuHp
Learning Useful Representations of Recurrent Neural Network Weight Matrices.,"Vincent Herrmann, Francesco Faccio, Jürgen Schmidhuber","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=QBj7Uurdwf
Evolution of Heuristics: Towards Efficient Automatic Algorithm Design Using Large Language Model.,"Fei Liu, Xialiang Tong, Mingxuan Yuan, Xi Lin, Fu Luo, Zhenkun Wang, Zhichao Lu, Qingfu Zhang","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=BwAkaxqiLB
SceneCraft: An LLM Agent for Synthesizing 3D Scenes as Blender Code.,"Ziniu Hu, Ahmet Iscen, Aashi Jain, Thomas Kipf, Yisong Yue, David A. Ross, Cordelia Schmid, Alireza Fathi","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=gAyzjHw2ml
Doubly Robust Causal Effect Estimation under Networked Interference via Targeted Learning.,"Weilin Chen, Ruichu Cai, Zeqin Yang, Jie Qiao, Yuguang Yan, Zijian Li, Zhifeng Hao","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=5lI9wm4dws
Emergent Equivariance in Deep Ensembles.,"Jan E. Gerken, Pan Kessel","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=plXXbXjvQ9
Evaluation of LLMs on Syntax-Aware Code Fill-in-the-Middle Tasks.,"Linyuan Gong, Sida Wang, Mostafa Elhoushi, Alvin Cheung","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=jKYyFbH8ap
Position: Automatic Environment Shaping is the Next Frontier in RL.,"Younghyo Park, Gabriel B. Margolis, Pulkit Agrawal","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=dslUyy1rN4
Online Matching with Stochastic Rewards: Provable Better Bound via Adversarial Reinforcement Learning.,"Qiankun Zhang, Aocheng Shen, Boyu Zhang, Hanrui Jiang, Bingqian Du","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=TujtZgdRxB
"Position: Beyond Personhood: Agency, Accountability, and the Limits of Anthropomorphic Ethical Analysis.",Jessica Dai,"41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=4XlGXIh2BB
Transformers Learn Nonlinear Features In Context: Nonconvex Mean-field Dynamics on the Attention Landscape.,"Juno Kim, Taiji Suzuki","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=xm2lU7tteQ
Monitoring AI-Modified Content at Scale: A Case Study on the Impact of ChatGPT on AI Conference Peer Reviews.,"Weixin Liang, Zachary Izzo, Yaohui Zhang, Haley Lepp, Hancheng Cao, Xuandong Zhao, Lingjiao Chen, Haotian Ye, Sheng Liu, Zhi Huang, Daniel A. McFarland, James Y. Zou","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=bX3J7ho18S
Locality-Sensitive Hashing-Based Efficient Point Transformer with Applications in High-Energy Physics.,"Siqi Miao, Zhiyuan Lu, Mia Liu, Javier M. Duarte, Pan Li","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=vJx6fld6l0
Unified Training of Universal Time Series Forecasting Transformers.,"Gerald Woo, Chenghao Liu, Akshat Kumar, Caiming Xiong, Silvio Savarese, Doyen Sahoo","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=Yd8eHMY1wz
Position: Opportunities Exist for Machine Learning in Magnetic Fusion Energy.,"Lucas Spangher, Allen M. Wang, Andrew Maris, Myles Stapelberg, Viraj Mehta, Alex Saperstein, Stephen Lane-Walsh, Akshata Kishore Moharir, Alessandro Pau, Cristina Rea","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=arwP5FA2dO
Robust CLIP: Unsupervised Adversarial Fine-Tuning of Vision Embeddings for Robust Large Vision-Language Models.,"Christian Schlarmann, Naman Deep Singh, Francesco Croce, Matthias Hein","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=WLPhywf1si
Less is More: on the Over-Globalizing Problem in Graph Transformers.,"Yujie Xing, Xiao Wang, Yibo Li, Hai Huang, Chuan Shi","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=uKmcyyrZae
GaLore: Memory-Efficient LLM Training by Gradient Low-Rank Projection.,"Jiawei Zhao, Zhenyu Zhang, Beidi Chen, Zhangyang Wang, Anima Anandkumar, Yuandong Tian","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=hYHsrKDiX7
PrE-Text: Training Language Models on Private Federated Data in the Age of LLMs.,"Charlie Hou, Akshat Shrivastava, Hongyuan Zhan, Rylan Conway, Trang Le, Adithya Sagar, Giulia Fanti, Daniel Lazar","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=3WCvnkHnxV
Compressible Dynamics in Deep Overparameterized Low-Rank Learning & Adaptation.,"Can Yaras, Peng Wang, Laura Balzano, Qing Qu","41st ICML 2024:
Vienna, Austria",2024,https://openreview.net/forum?id=uDkXoZMzBv
