title,authors,conference_name,conference_year,link
MicroAdam: Accurate Adaptive Optimization with Low Space Overhead and Provable Convergence.,"Ionut-Vlad Modoranu, Mher Safaryan, Grigory Malinovsky, Eldar Kurtic, Thomas Robert, Peter Richtárik, Dan Alistarh","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/000f947dcaff8fbffcc3f53a1314f358-Abstract-Conference.html
GITA: Graph to Visual and Textual Integration for Vision-Language Graph Reasoning.,"Yanbin Wei, Shuai Fu, Weisen Jiang, Zejian Zhang, Zhixiong Zeng, Qi Wu, James T. Kwok, Yu Zhang","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/00295cede6e1600d344b5cd6d9fd4640-Abstract-Conference.html
How does PDE order affect the convergence of PINNs?,"Changhoon Song, Yesom Park, Myungjoo Kang","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/00532321a253959cedc4f971b5524131-Abstract-Conference.html
Fair Wasserstein Coresets.,"Zikai Xiong, Niccolò Dalmasso, Shubham Sharma, Freddy Lécué, Daniele Magazzeni, Vamsi K. Potluru, Tucker Balch, Manuela Veloso","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/005413e90d003d13886019607b037f52-Abstract-Conference.html
Improved Regret for Bandit Convex Optimization with Delayed Feedback.,"Yuanyu Wan, Chang Yao, Mingli Song, Lijun Zhang","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/00616a2d48f5716f3d6f783491149364-Abstract-Conference.html
Enhancing Chess Reinforcement Learning with Graph Representation.,"Tomas Rigaux, Hisashi Kashima","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/008a16ead32f932b711788c276890456-Abstract-Conference.html
Mixtures of Experts for Audio-Visual Learning.,"Ying Cheng, Yang Li, Junjie He, Rui Feng","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/009729d26288b9a8826023692a876107-Abstract-Conference.html
Learning Place Cell Representations and Context-Dependent Remapping.,"Markus Pettersen, Frederik Rogge, Mikkel E. Lepperød","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/0098a92f5f4e2d96c6db471e0c5507a8-Abstract-Conference.html
Robust Sparse Regression with Non-Isotropic Designs.,"Chih-Hung Liu, Gleb Novikov","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/00a0db6d26a58c996ff915bd765eb969-Abstract-Conference.html
Training-Free Adaptive Diffusion with Bounded Difference Approximation Strategy.,"Hancheng Ye, Jiakang Yuan, Renqiu Xia, Xiangchao Yan, Tao Chen, Junchi Yan, Botian Shi, Bo Zhang","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/00d1f03b87a401b1c7957e0cc785d0bc-Abstract-Conference.html
Chain of Preference Optimization: Improving Chain-of-Thought Reasoning in LLMs.,"Xuan Zhang, Chao Du, Tianyu Pang, Qian Liu, Wei Gao, Min Lin","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/00d80722b756de0166523a87805dd00f-Abstract-Conference.html
"Decompose, Analyze and Rethink: Solving Intricate Problems with Human-like Reasoning Cycle.","Shangzi Xue, Zhenya Huang, Jiayu Liu, Xin Lin, Yuting Ning, Binbin Jin, Xin Li, Qi Liu","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/01025a4e79355bb37a10ba39605944b5-Abstract-Conference.html
UQ-Guided Hyperparameter Optimization for Iterative Learners.,"Jiesong Liu, Feng Zhang, Jiawei Guan, Xipeng Shen","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/010c5ba0cafc743fece8be02e7adb8dd-Abstract-Conference.html
"Occupancy-based Policy Gradient: Estimation, Convergence, and Optimality.","Audrey Huang, Nan Jiang","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/010c855df402b443e0c16e5b7434e74c-Abstract-Conference.html
TimeXer: Empowering Transformers for Time Series Forecasting with Exogenous Variables.,"Yuxuan Wang, Haixu Wu, Jiaxiang Dong, Guo Qin, Haoran Zhang, Yong Liu, Yunzhong Qiu, Jianmin Wang, Mingsheng Long","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/0113ef4642264adc2e6924a3cbbdf532-Abstract-Conference.html
DrivAerNet++: A Large-Scale Multimodal Car Dataset with Computational Fluid Dynamics Simulations and Deep Learning Benchmarks.,"Mohamed Elrefaie, Florin Morar, Angela Dai, Faez Ahmed","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/013cf29a9e68e4411d0593040a8a1eb3-Abstract-Datasets_and_Benchmarks_Track.html
DomainGallery: Few-shot Domain-driven Image Generation by Attribute-centric Finetuning.,"Yuxuan Duan, Yan Hong, Bo Zhang, Jun Lan, Huijia Zhu, Weiqiang Wang, Jianfu Zhang, Li Niu, Liqing Zhang","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/013d743db3c684957305d32017f13339-Abstract-Conference.html
Collaborative Cognitive Diagnosis with Disentangled Representation Learning for Learner Modeling.,"Weibo Gao, Qi Liu, Linan Yue, Fangzhou Yao, Hao Wang, Yin Gu, Zheng Zhang","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/013f9cd52b38e3e53475605d2b8e7c23-Abstract-Conference.html
AutoManual: Constructing Instruction Manuals by LLM Agents via Interactive Environmental Learning.,"Minghao Chen, Yihang Li, Yanting Yang, Shiyu Yu, Binbin Lin, Xiaofei He","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/0142921fad7ef9192bd87229cdafa9d4-Abstract-Conference.html
Slot-VLM: Object-Event Slots for Video-Language Modeling.,"Jiaqi Xu, Cuiling Lan, Wenxuan Xie, Xuejin Chen, Yan Lu","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/0147d967a5db3b8dde08d2a327b24568-Abstract-Conference.html
VASA-1: Lifelike Audio-Driven Talking Faces Generated in Real Time.,"Sicheng Xu, Guojun Chen, Yu-Xiao Guo, Jiaolong Yang, Chong Li, Zhenyu Zang, Yizhong Zhang, Xin Tong, Baining Guo","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/014fe398da515cd552fa6e1f33e0565e-Abstract-Conference.html
Community Detection Guarantees using Embeddings Learned by Node2Vec.,"Andrew Davison, S. Carlyle Morgan, Owen G. Ward","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/015a8c69bedcb0a7b2ed2e1678f34399-Abstract-Conference.html
Physics-Informed Regularization for Domain-Agnostic Dynamical System Modeling.,"Zijie Huang, Wanjia Zhao, Jingdong Gao, Ziniu Hu, Xiao Luo, Yadi Cao, Yuanzhou Chen, Yizhou Sun, Wei Wang","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/0164f863e66a4272b680ecc4e561bf9d-Abstract-Conference.html
Improving Sparse Decomposition of Language Model Activations with Gated Sparse Autoencoders.,"Senthooran Rajamanoharan, Arthur Conmy, Lewis Smith, Tom Lieberum, Vikrant Varma, János Kramár, Rohin Shah, Neel Nanda","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/01772a8b0420baec00c4d59fe2fbace6-Abstract-Conference.html
Bench2Drive: Towards Multi-Ability Benchmarking of Closed-Loop End-To-End Autonomous Driving.,"Xiaosong Jia, Zhenjie Yang, Qifeng Li, Zhiyuan Zhang, Junchi Yan","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/017761f94a1cd66d01c041aff85492c4-Abstract-Datasets_and_Benchmarks_Track.html
"Deep Policy Gradient Methods Without Batch Updates, Target Networks, or Replay Buffers.","Gautham Vasan, Mohamed Elsayed, Seyed Alireza Azimi, Jiamin He, Fahim Shahriar, Colin Bellinger, Martha White, Rupam Mahmood","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/019ef89617d539b15ed610ce8d1b76e1-Abstract-Conference.html
Towards Understanding How Transformers Learn In-context Through a Representation Learning Lens.,"Ruifeng Ren, Yong Liu","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/01a8d63f9cb6dcbaa3092ccddd2075ac-Abstract-Conference.html
FINALLY: fast and universal speech enhancement with studio-like quality.,"Nicholas Babaev, Kirill Tamogashev, Azat Saginbaev, Ivan Shchekotov, Hanbin Bae, Hosang Sung, Won-Jun Lee, Hoon-Young Cho, Pavel Andreev","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/01b3dea1871f7cea1e0e6be1f2f085bc-Abstract-Conference.html
Learning from Teaching Regularization: Generalizable Correlations Should be Easy to Imitate.,"Can Jin, Tong Che, Hongwu Peng, Yiyuan Li, Dimitris N. Metaxas, Marco Pavone","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/01ce1ae7f94d139e4917f9e4425a4f38-Abstract-Conference.html
Prospective Representation Learning for Non-Exemplar Class-Incremental Learning.,"Wuxuan Shi, Mang Ye","38th NeurIPS 2024:
Vancouver, BC, Canada",2024,http://papers.nips.cc/paper_files/paper/2024/hash/01ecd39ca49ddecc5729ca996304781b-Abstract-Conference.html
