title,authors,conference_name,conference_year,link
Geometry-Contrastive Transformer for Generalized 3D Pose Transfer.,"Haoyu Chen, Hao Tang, Zitong Yu, Nicu Sebe, Guoying Zhao",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19901
Explore Inter-contrast between Videos via Composition for Weakly Supervised Temporal Sentence Grounding.,"Jiaming Chen, Weixin Luo, Wei Zhang, Lin Ma",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19902
Adaptive Image-to-Video Scene Graph Generation via Knowledge Reasoning and Adversarial Learning.,"Jin Chen, Xiaofeng Ji, Xinxiao Wu",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19903
Text Gestalt: Stroke-Aware Scene Text Image Super-resolution.,"Jingye Chen, Haiyang Yu, Jianqi Ma, Bin Li, Xiangyang Xue",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19904
Towards High-Fidelity Face Self-Occlusion Recovery via Multi-View Residual-Based GAN Inversion.,"Jinsong Chen, Hu Han, Shiguang Shan",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19905
ProgressiveMotionSeg: Mutually Reinforced Framework for Event-Based Motion Segmentation.,"Jinze Chen, Yang Wang, Yang Cao, Feng Wu, Zheng-Jun Zha",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19906
Attacking Video Recognition Models with Bullet-Screen Comments.,"Kai Chen, Zhipeng Wei, Jingjing Chen, Zuxuan Wu, Yu-Gang Jiang",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19907
VITA: A Multi-Source Vicinal Transfer Augmentation Method for Out-of-Distribution Generalization.,"Minghui Chen, Cheng Wen, Feng Zheng, Fengxiang He, Ling Shao",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19908
TransZero: Attribute-Guided Transformer for Zero-Shot Learning.,"Shiming Chen, Ziming Hong, Yang Liu, Guo-Sen Xie, Baigui Sun, Hao Li, Qinmu Peng, Ke Lu, Xinge You",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19909
Structured Semantic Transfer for Multi-Label Recognition with Partial Labels.,"Tianshui Chen, Tao Pu, Hefeng Wu, Yuan Xie, Liang Lin",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19910
SJDL-Vehicle: Semi-supervised Joint Defogging Learning for Foggy Vehicle Re-identification.,"Wei-Ting Chen, I-Hsiang Chen, Chih-Yuan Yeh, Hao-Hsiang Yang, Jian-Jiun Ding, Sy-Yen Kuo",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19911
Imagine by Reasoning: A Reasoning-Based Implicit Semantic Data Augmentation for Long-Tailed Classification.,"Xiaohua Chen, Yucan Zhou, Dayan Wu, Wanqian Zhang, Yu Zhou, Bo Li, Weiping Wang",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19912
Guide Local Feature Matching by Overlap Estimation.,"Ying Chen, Dihe Huang, Shang Xu, Jianlin Liu, Yong Liu",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19913
Causal Intervention for Subject-Deconfounded Facial Action Unit Recognition.,"Yingjie Chen, Diqi Chen, Tao Wang, Yizhou Wang, Yun Liang",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19914
Deep One-Class Classification via Interpolated Gaussian Descriptor.,"Yuanhong Chen, Yu Tian, Guansong Pang, Gustavo Carneiro",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19915
Towards Ultra-Resolution Neural Style Transfer via Thumbnail Instance Normalization.,"Zhe Chen, Wenhai Wang, Enze Xie, Tong Lu, Ping Luo",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19916
DeTarNet: Decoupling Translation and Rotation by Siamese Network for Point Cloud Registration.,"Zhi Chen, Fan Yang, Wenbing Tao",36th AAAI 2022,2022,https://doi.org/10.1609/aaai.v36i1.19917
