title,authors,conference_name,conference_year,link
Distance Polymatrix Coordination Games.,"Alessandro Aloisio, Michele Flammini, Bojana Kodric, Cosimo Vinci","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/1
Diversity in Kemeny Rank Aggregation: A Parameterized Approach.,"Emmanuel Arrighi, Henning Fernau, Daniel Lokshtanov, Mateus de Oliveira Oliveira, Petra Wolf","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/2
School Choice with Flexible Diversity Goals and Specialized Seats.,"Haris Aziz, Zhaohong Sun","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/3
PROPm Allocations of Indivisible Goods to Multiple Agents.,"Artem Baklanov, Pranav Garimidi, Vasilis Gkatzelis, Daniel Schoepflin","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/4
Learning Within an Instance for Designing High-Revenue Combinatorial Auctions.,"Maria-Florina Balcan, Siddharth Prasad, Tuomas Sandholm","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/5
Combining Fairness and Optimality when Selecting and Allocating Projects.,"Khaled Belahcène, Vincent Mousseau, Anaëlle Wilczynski","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/6
Two Influence Maximization Games on Graphs Made Temporal.,"Niclas Boehmer, Vincent Froese, Julia Henkel, Yvonne Lasars, Rolf Niedermeier, Malte Renken","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/7
Winner Robustness via Swap- and Shift-Bribery: Parameterized Counting Complexity and Experiments.,"Niclas Boehmer, Robert Bredereck, Piotr Faliszewski, Rolf Niedermeier","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/8
Putting a Compass on the Map of Elections.,"Niclas Boehmer, Robert Bredereck, Piotr Faliszewski, Rolf Niedermeier, Stanislaw Szufa","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/9
Loyalty in Cardinal Hedonic Games.,"Martin Bullinger, Stefan Kober","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/10
Approximating the Shapley Value Using Stratified Empirical Bernstein Sampling.,"Mark Alexander Burgess, Archie C. Chapman","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/11
Picking Sequences and Monotonicity in Weighted Fair Division.,"Mithun Chakraborty, Ulrike Schmidt-Kraepelin, Warut Suksompong","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/12
Fractional Matchings under Preferences: Stability and Optimality.,"Jiehua Chen, Sanjukta Roy, Manuel Sorge","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/13
Temporal Induced Self-Play for Stochastic Bayesian Games.,"Weizhe Chen, Zihan Zhou, Yi Wu, Fei Fang","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/14
Cooperation in Threshold Public Projects with Binary Actions.,"Yiling Chen, Biaoshuai Tao, Fang-Yi Yu","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/15
Learning in Markets: Greed Leads to Chaos but Following the Price is Right.,"Yun Kuen Cheung, Stefanos Leonardos, Georgios Piliouras","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/16
Identifying Norms from Observation Using MCMC Sampling.,"Stephen Cranefield, Ashish Dhiman","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/17
Improving Multi-agent Coordination by Learning to Estimate Contention.,"Panayiotis Danassis, Florian Wiedemair, Boi Faltings","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/18
Multi-Agent Intention Progression with Black-Box Agents.,"Michael Dann, Yuan Yao, Brian Logan, John Thangarajah","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/19
The Parameterized Complexity of Connected Fair Division.,"Argyrios Deligkas, Eduard Eiben, Robert Ganian, Thekla Hamm, Sebastian Ordyniak","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/20
Neural Regret-Matching for Distributed Constraint Optimization Problems.,"Yanchen Deng, Runsheng Yu, Xinrun Wang, Bo An","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/21
Online Selection of Diverse Committees.,"Virginie Do, Jamal Atif, Jérôme Lang, Nicolas Usunier","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/22
Graphical Cake Cutting via Maximin Share.,"Edith Elkind, Erel Segal-Halevi, Warut Suksompong","30th IJCAI 2021: Virtual Event / Montreal, Canada",2021,https://doi.org/10.24963/ijcai.2021/23
