前区号码,出现次数
1,4
2,6
3,6
4,7
5,5
6,5
7,4
8,8
9,2
10,6
11,6
12,2
13,3
14,2
15,6
16,7
17,2
18,6
19,2
20,12
21,7
22,8
23,5
24,1
25,6
26,1
27,3
28,2
29,7
30,4
31,5
32,4
33,3
34,5
35,3
