前区号码,出现次数
1,3
2,4
3,4
4,3
5,7
6,4
7,6
8,5
9,4
10,5
11,4
12,6
13,1
14,2
15,5
16,3
17,5
18,3
19,2
20,7
21,8
22,11
23,3
24,2
25,7
26,5
27,4
28,7
29,6
30,7
31,7
32,3
33,5
34,5
35,2
