胡润百富榜年份,排名,排名变化,财富(人民币/亿),财富(美元/百万),财富变化,个人信息_人物关系,个人信息_姓名_中文,个人信息_姓名_英文,个人信息_性别,个人信息_年龄,个人信息_照片URL,个人信息_籍贯_中文,个人信息_籍贯_英文,个人信息_出生地_中文,个人信息_出生地_英文,个人信息_常住地_中文,个人信息_常住地_英文,个人信息_教育程度_中文,个人信息_教育程度_英文,个人信息_毕业院校,个人信息_专业_中文,个人信息_专业_英文,企业信息_公司名称_中文,企业信息_公司名称_英文,企业信息_公司总部_中文,企业信息_公司总部_英文,企业信息_行业_中文,企业信息_行业_英文
2024,16,-3,1350.0,19000.0,-7%,夫妇,秦英林,Qin Yinglin,男,59,https://res.hurun.net/photo/000016_Qin_Yinglin.jpg,中国-河南-南阳,China-Henan-Nanyang,中国-河南-南阳,China - Henan - Nanyang,中国-河南-南阳,China - Henan - Nanyang,本科,Undergraduate,河南农业大学,,,牧原,Muyuan,河南南阳,Henan,畜牧,Pig Farming
2024,16,0,1350.0,19000.0,0%,个人,王传福,Wang Chuanfu,男,58,https://res.hurun.net/photo/000097_Wang_Chuanfu.jpg,中国-安徽-芜湖,China-Anhui-Wuhu,中国-安徽-芜湖,China -Anhui - Wuhu,中国-广东-深圳,China-Guangdong-Shenzhen,本科,Undergraduate,中南大学,,,比亚迪,BYD,广东深圳,Guangdong,汽车、充电电池,"Automobile, New Energy"
2024,16,81,1350.0,19000.0,200%,个人,赵长鹏,Zhao Changpeng,男,47,https://res.hurun.net/default/icon_men.jpg,,,中国-江苏-连云港,China-Jiangsu-Lianyungang,阿联酋迪拜,United Arab Emirates-Dubai,本科,Undergraduate,麦吉尔大学,,,币安,Binance,美国,USA,虚拟货币交易所,Blockchain
2024,19,15,1300.0,18300.0,38%,个人,雷军,Lei Jun,男,55,https://res.hurun.net/photo/000029_Lei_Jun.jpg,中国-湖北-仙桃,China-Hubei-FairyPeach,中国-湖北-仙桃,China -Hubei - Fairy Peach,中国-北京,China-Beijing,本科,Undergraduate,武汉大学,,,小米,Xiaomi,北京,Beijing,智能硬件与技术、投资,"IoT, Investments"
2024,20,0,1250.0,17600.0,0%,夫妇,陈建华,Chen Jianhua,男,53,https://res.hurun.net/photo/000013_Chen_Jianhua.jpg,中国-江苏-苏州,China-Jiangsu-Suzhou,中国-江苏-苏州,China-Jiangsu-Suzhou,中国-江苏-苏州,China-Jiangsu-Suzhou,硕士,Master s,南京师范,,,恒力,Hengli,江苏苏州,Jiangsu,化纤、石化、房地产,"Textiles, Chemical Fiber, Real Estate"
2024,20,6,1250.0,17600.0,14%,个人,张志东,Zhang Zhidong,男,52,https://res.hurun.net/photo/000014_Zhang_Zhidong.jpg,中国-广东-东莞,China-Guangdong-Dongguan,中国-广东-东莞,China-Guangdong-Dongguan,中国-广东-深圳,China-Guangdong-Shenzhen,硕士,Master s,深圳、华南理工,,,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services
2024,22,-4,1200.0,16900.0,-8%,父子,刘永行,Liu Yongxing,男,76,https://res.hurun.net/photo/000030_Liu_Yongxing.jpg,,,中国-四川-成都,China - Sichuan-Chengdu,中国-上海,China-Shanghai,博士,Doctorate,西华、恒生国际、美国波士顿,,,东方希望,East Hope,上海浦东,Shanghai,氧化铝、重化工、饲料,"Aluminium, Feed"
2024,23,-3,1100.0,15500.0,-12%,个人,王卫,Wang Wei,男,54,https://res.hurun.net/photo/000012_Wang_Wei.jpg,中国-广东-河源,China-Guangdong-Heyuan,中国-上海,China-Shanghai,中国-香港,China-Hong Kong,,,未知,,,顺丰,SF,广东深圳,Guangdong,快递,Express Delivery
2024,23,1,1100.0,15500.0,-8%,夫妇,魏建军,Wei Jianjun,男,60,https://res.hurun.net/photo/000088_Wei_Jianjun.jpg,中国-河北-保定,China-Hebei-Baoding,中国-河北-保定,China-Hebei-Baoding,中国-河北-保定,China-Hebei-Baoding,,,未知,,,长城,Great Wall Motor,河北保定,Hebei,汽车制造,Automobile
2024,23,15,1100.0,15500.0,31%,家族,郑淑良,Zheng Shuliang,男,78,https://res.hurun.net/default/icon_men.jpg,中国-山东-滨州,China-Shandong-Binzhou,中国-山东,China-Shandong,中国-山东-滨州,China-Shandong-Binzhou,,,未知,,,魏桥创业,Weiqiao Pioneering,山东滨州,Shandong,铝业、纺织,"Aluminum, Textiles"
2024,26,1,1000.0,14100.0,0%,个人,李西廷,Li Xiting,男,73,https://res.hurun.net/photo/000040_Li_Xiting.jpg,中国-安徽-宿州,China-Anhui-Ceju,中国-安徽-宿州,China-Anhui-Ceju,新加坡,Singapore,本科,Undergraduate,中国科技大学,,,迈瑞,Mindray,广东深圳,Guangdong,医疗器械,Pharmaceuticals
2024,27,4,950.0,13400.0,0%,个人,党彦宝,Dang Yanbao,男,51,https://res.hurun.net/default/icon_men.jpg,,,,,中国-宁夏-吴忠,China-Ningxia-Wu Zhong,本科,Undergraduate,宁夏,,,宝丰,Baofeng Energy,宁夏银川,Ningxia,煤化工,Coal Chemical
2024,27,0,950.0,13400.0,-5%,个人,徐航,Xu Hang,男,62,https://res.hurun.net/photo/000032_Xu_Hang.jpg,中国-广东,China-Guangdong,中国-广东-广州,China-Guangdong-guangzhou,中国-广东-深圳,China-Guangdong-Shenzhen,本科,Undergraduate,清华大学,,,迈瑞、鹏瑞,"Mindray, Parkland",广东深圳,Guangdong,医疗器械、房地产,"Health Tech, Real Estate"
2024,27,-9,950.0,13400.0,-27%,家族,郑家纯,Henry Cheng Kar-shun,男,76,https://res.hurun.net/default/icon_men.jpg,中国-香港,China-Hong Kong,中国-香港,China-Hong Kong,中国-香港,China-Hong Kong,,,未知,,,周大福,Chow Tai Fook,香港,Hong Kong,珠宝,Jewellery
2024,30,36,930.0,13100.0,55%,个人,郭台铭,Terry Guo Tai-Ming,男,74,https://res.hurun.net/default/icon_men.jpg,中国-山西-晋城,China-Shanxi-Jincheng,中国-台湾-新北,China-Taiwan-New North,中国-台湾-台北,China-Taiwan-Taipei,,,未知,,,鸿海,Hon Hai,台湾台北,Taiwan,电子制造,Manufacturing
2024,30,-3,930.0,13100.0,-7%,家族,吴光正,Peter Woo Kwong-ching,男,78,https://res.hurun.net/default/icon_men.jpg,中国-浙江-宁波,China-Zhejiang-Ningbo,中国-上海,China-Shanghai,中国-香港,China-Hong Kong,,,未知,,,会德丰,Wheelock,香港,Hong Kong,房地产,Estate Holding
