企业信息_行业_中文,富豪数量,财富总值_亿,平均财富_亿,代表人物,财富占比
饲料,3,380.0,126.66666666666667,薛华,0.18
印染、化纤、房地产,2,380.0,190.0,缪汉根,0.18
机械制造,4,375.0,93.75,许树根,0.18
汽车销售,4,373.0,93.25,严陈莉莲,0.18
轮胎,3,370.0,123.33333333333333,王希成,0.18
运输,2,370.0,185.0,董建成,0.18
汽车、汽车零配件,3,370.0,123.33333333333333,张兴海,0.18
传媒娱乐,2,360.0,180.0,宿华,0.17
医药、零售、投资,1,355.0,355.0,陈发树,0.17
教育,4,351.0,87.75,俞敏洪,0.17
电器零部件制造,1,350.0,350.0,张和君,0.17
房地产、航空、零售,3,345.0,115.0,王均金,0.16
银行业,3,345.0,115.0,伍步高,0.16
特种计算机,1,335.0,335.0,陈志列,0.16
金融、在线游戏、投资,1,325.0,325.0,史玉柱,0.15
人工智能芯片,1,320.0,320.0,陈天石,0.15
航空,2,320.0,160.0,王正华,0.15
有色金属,2,315.0,157.5,谢伟通,0.15
设备制造,5,315.0,63.0,陈文源,0.15
石油化工,4,308.0,77.0,李湘平,0.15
电动车,2,305.0,152.5,董经贵,0.15
煤炭,3,303.0,101.0,张双旺,0.14
声学及多媒体产品,2,301.0,150.5,姜滨,0.14
生活服务平台、电商,2,300.0,150.0,毛文超,0.14
太阳能,3,295.0,98.33333333333333,李仙德,0.14
酒业、投资,1,290.0,290.0,吴向东,0.14
地产、畜牧,1,290.0,290.0,米恩华,0.14
房地产、文化,1,290.0,290.0,王健林,0.14
航运,1,290.0,290.0,杨绍鹏,0.14
矿业,3,288.0,96.0,袁志伦,0.14
汽车销售、能源、房地产,1,280.0,280.0,孙广信,0.13
能源、化工,1,280.0,280.0,钭正刚,0.13
乳业,2,275.0,137.5,冷友斌,0.13
钛合金、保温容器,2,270.0,135.0,肖安江,0.13
机器人,2,270.0,135.0,钱东奇,0.13
商业、金融、地产,1,270.0,270.0,涂辉龙,0.13
家电,1,265.0,265.0,梁庆德,0.13
钛白粉,3,260.0,86.66666666666667,许冉,0.12
数字新媒体、投资,1,260.0,260.0,江南春,0.12
自动化设备,3,260.0,86.66666666666667,王燕清,0.12
服装、投资,1,255.0,255.0,周建平,0.12
绿色建材、新能源,1,255.0,255.0,余竹云,0.12
煤化工、电力、运输,1,250.0,250.0,杜江涛,0.12
家用电器,3,250.0,83.33333333333333,黄宏生,0.12
印刷电路板,3,250.0,83.33333333333333,黄小芬,0.12
房地产、水电,1,250.0,250.0,缪寿良,0.12
家具,4,245.0,61.25,顾江生,0.12
视频软件,1,245.0,245.0,袁征,0.12
连锁酒店,2,242.0,121.0,季琦,0.12
太阳能芯片、发电厂,1,240.0,240.0,朱共山,0.11
工业制造、房地产,2,240.0,120.0,邵钦祥,0.11
矿产,2,240.0,120.0,肖永明,0.11
橱柜,1,240.0,240.0,姚良松,0.11
杂货,1,235.0,235.0,曹其峰,0.11
环保造纸,1,235.0,235.0,张茵,0.11
上网平台,1,230.0,230.0,陈大年,0.11
新能源,3,230.0,76.66666666666667,张传卫,0.11
文化传媒、投资,1,230.0,230.0,王麒诚,0.11
工业自动化产品,3,230.0,76.66666666666667,朱兴明,0.11
建筑开发、金融保险,1,225.0,225.0,尹衍梁,0.11
厨具,1,225.0,225.0,茅理翔,0.11
生物医药、房地产,1,225.0,225.0,赵燕,0.11
香精香料、烟草,1,225.0,225.0,朱林瑶,0.11
家电、房地产,1,225.0,225.0,郑坚江,0.11
橡胶,1,220.0,220.0,罗才仁,0.1
电缆、热能电力、投资,1,220.0,220.0,崔根良,0.1
通信,3,219.0,73.0,陈智松,0.1
包装,2,216.0,108.0,王华君,0.1
医药、电子新材料,1,215.0,215.0,郭梅兰,0.1
人工智能,3,215.0,71.66666666666667,杨秋梅,0.1
办公家具、房地产,1,210.0,210.0,陈永泰,0.1
工具制造,1,210.0,210.0,仇建平,0.1
光伏逆变器,2,208.0,104.0,王一鸣,0.1
工业设备、汽车零部件、房地产,1,205.0,205.0,张道才,0.1
个人护理用品,2,205.0,102.5,许连捷,0.1
钢铁、煤化工,1,205.0,205.0,郭恩元,0.1
教育、房地产,1,200.0,200.0,彭国远,0.1
汽车服务，产业园区,2,200.0,100.0,易大盛,0.1
电动自行车,1,195.0,195.0,张剑,0.09
软件与信息技术服务,1,195.0,195.0,周超男,0.09
工业机械,2,195.0,97.5,王世忠,0.09
食品与饮料,1,190.0,190.0,范现国,0.09
汽车灯具,1,190.0,190.0,周晓萍,0.09
电子制造、收藏,1,190.0,190.0,陈泰铭,0.09
