title,authors,conference_name,conference_year,link
Balancing Spreads of Influence in a Social Network.,"Ruben Becker, Federico Corò, Gianlorenzo D'Angelo, Hugo Gilbert","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5327
MultiSumm: Towards a Unified Model for Multi-Lingual Abstractive Summarization.,"Yue Cao, Xiaojun Wan, Jin-ge Yao, Dian Yu","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5328
Efficient Heterogeneous Collaborative Filtering without Negative Sampling for Recommendation.,"Chong Chen, Min Zhang, Yongfeng Zhang, Weizhi Ma, Yiqun Liu, Shaoping Ma","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5329
Revisiting Graph Based Collaborative Filtering: A Linear Residual Graph Convolutional Network Approach.,"Lei Chen, Le Wu, Richang Hong, Kun Zhang, Meng Wang","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5330
Question-Driven Purchasing Propensity Analysis for Recommendation.,"Long Chen, Ziyu Guan, Qibin Xu, Qiong Zhang, Huan Sun, Guangyue Lu, Deng Cai","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5331
Gradient Method for Continuous Influence Maximization with Budget-Saving Considerations.,"Wei Chen, Weizhong Zhang, Haoyu Zhao","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5332
Norm-Explicit Quantization: Improving Vector Quantization for Maximum Inner Product Search.,"Xinyan Dai, Xiao Yan, Kelvin Kai Wing Ng, Jiu Liu, James Cheng","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5333
Modeling Fluency and Faithfulness for Diverse Neural Machine Translation.,"Yang Feng, Wanying Xie, Shuhao Gu, Chenze Shao, Wen Zhang, Zhengxin Yang, Dong Yu","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5334
Leveraging Title-Abstract Attentive Semantics for Paper Recommendation.,"Guibing Guo, Bowei Chen, Xiaoyan Zhang, Zhirong Liu, Zhenhua Dong, Xiuqiang He","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5335
Preserving Ordinal Consensus: Towards Feature Selection for Unlabeled Data.,"Jun Guo, Heng Chang, Wenwu Zhu","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5336
An Attentional Recurrent Neural Network for Personalized Next Location Recommendation.,"Qing Guo, Zhu Sun, Jie Zhang, Yin-Leng Theng","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5337
Re-Attention for Visual Question Answering.,"Wenya Guo, Ying Zhang, Xiaoping Wu, Jufeng Yang, Xiangrui Cai, Xiaojie Yuan","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5338
Semi-Supervised Multi-Modal Learning with Balanced Spectral Decomposition.,"Peng Hu, Hongyuan Zhu, Xi Peng, Jie Lin","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5339
MuMod: A Micro-Unit Connection Approach for Hybrid-Order Community Detection.,"Ling Huang, Hong-Yang Chao, Guangqiang Xie","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5340
Cross-Lingual Pre-Training Based Transfer for Zero-Shot Neural Machine Translation.,"Baijun Ji, Zhirui Zhang, Xiangyu Duan, Min Zhang, Boxing Chen, Weihua Luo","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5341
Functionality Discovery and Prediction of Physical Objects.,"Lei Ji, Botian Shi, Xianglin Guo, Xilin Chen","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5342
True Nonlinear Dynamics from Incomplete Networks.,"Chunheng Jiang, Jianxi Gao, Malik Magdon-Ismail","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5343
Understanding and Improving Proximity Graph Based Maximum Inner Product Search.,"Jie Liu, Xiao Yan, Xinyan Dai, Zhirong Li, James Cheng, Ming-Chang Yang","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5344
Type-Aware Anchor Link Prediction across Heterogeneous Networks Based on Graph Attention Network.,"Xiaoxue Li, Yanmin Shang, Yanan Cao, Yangxi Li, Jianlong Tan, Yanbing Liu","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5345
Deep Match to Rank Model for Personalized Click-Through Rate Prediction.,"Zequn Lyu, Yu Dong, Chengfu Huo, Weijun Ren","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5346
Modality to Modality Translation: An Adversarial Representation Learning and Graph Fusion Network for Multimodal Fusion.,"Sijie Mai, Haifeng Hu, Songlong Xing","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5347
A Variational Point Process Model for Social Event Sequences.,"Zhen Pan, Zhenya Huang, Defu Lian, Enhong Chen","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5348
Fair Updates in Two-Sided Market Platforms: On Incrementally Updating Recommendations.,"Gourab K. Patro, Abhijnan Chakraborty, Niloy Ganguly, Krishna P. Gummadi","34th AAAI 2020: New York, NY, USA",2020,https://doi.org/10.1609/aaai.v34i01.5349
