title,authors,conference_name,conference_year,link
Back to the Future: Toward a Hybrid Architecture for Ad Hoc Teamwork.,"Hasra Dodampegama, Mohan Sridharan","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25070
Reducing ANN-SNN Conversion Error through Residual Membrane Potential.,"Zecheng Hao, Tong Bu, Jianhao Ding, Tiejun Huang, Zhaofei Yu","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25071
Hierarchical ConViT with Attention-Based Relational Reasoner for Visual Analogical Reasoning.,"Wentao He, Jialu Zhang, Jianfeng Ren, Ruibin Bai, Xudong Jiang","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25072
Deep Spiking Neural Networks with High Representation Similarity Model Visual Pathways of Macaque and Mouse.,"Liwei Huang, Zhengyu Ma, Liutao Yu, Huihui Zhou, Yonghong Tian","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25073
A Semi-parametric Model for Decision Making in High-Dimensional Sensory Discrimination Tasks.,"Stephen Keeley, Benjamin Letham, Craig Sanders, Chase Tymms, Michael Shvartsman","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25074
"A Machine with Short-Term, Episodic, and Semantic Memory Systems.","Taewoon Kim, Michael Cochez, Vincent François-Lavet, Mark A. Neerincx, Piek Vossen","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25075
Persuasion Strategies in Advertisements.,"Yaman Kumar, Rajat Jha, Arunim Gupta, Milan Aggarwal, Aditya Garg, Tushar Malyan, Ayush Bhardwaj, Rajiv Ratn Shah, Balaji Krishnamurthy, Changyou Chen","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25076
Intensity-Aware Loss for Dynamic Facial Expression Recognition in the Wild.,"Hanting Li, Hongjing Niu, Zhaoqing Zhu, Feng Zhao","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25077
AVCAffe: A Large Scale Audio-Visual Dataset of Cognitive Load and Affect for Remote Work.,"Pritam Sarkar, Aaron Posen, Ali Etemad","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25078
ESL-SNNs: An Evolutionary Structure Learning Strategy for Spiking Neural Networks.,"Jiangrong Shen, Qi Xu, Jian K. Liu, Yueming Wang, Gang Pan, Huajin Tang","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25079
Zero-Shot Linear Combinations of Grounded Social Interactions with Linear Social MDPs.,"Ravi Tejwani, Yen-Ling Kuo, Tianmin Shu, Bennett Stankovits, Dan Gutfreund, Joshua B. Tenenbaum, Boris Katz, Andrei Barbu","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25080
Complex Dynamic Neurons Improved Spiking Transformer Network for Efficient Automatic Speech Recognition.,"Qingyu Wang, Tielin Zhang, Minglun Han, Yi Wang, Duzhen Zhang, Bo Xu","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25081
Self-Supervised Graph Learning for Long-Tailed Cognitive Diagnosis.,"Shanshan Wang, Zhen Zeng, Xun Yang, Xingyi Zhang","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25082
CMNet: Contrastive Magnification Network for Micro-Expression Recognition.,"Mengting Wei, Xingxun Jiang, Wenming Zheng, Yuan Zong, Cheng Lu, Jiateng Liu","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25083
Disentangling Reafferent Effects by Doing Nothing.,"Benedict Wilkins, Kostas Stathis","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25084
Learning Temporal-Ordered Representation for Spike Streams Based on Discrete Wavelet Transforms.,"Jiyuan Zhang, Shanshan Jia, Zhaofei Yu, Tiejun Huang","37th AAAI 2023:
Washington, DC, USA",2023,https://doi.org/10.1609/aaai.v37i1.25085
