title,authors,conference_name,conference_year,link
PAC-Bayesian Bounds on Rate-Efficient Classifiers.,"Alhabib Abbas, Yiannis Andreopoulos","39th ICML 2022: Baltimore, MD, USA",2022,https://proceedings.mlr.press/v162/abbas22a.html
Sharp-MAML: Sharpness-Aware Model-Agnostic Meta Learning.,"Momin Abbas, Quan Xiao, Lisha Chen, Pin-Yu Chen, Tianyi Chen","39th ICML 2022: Baltimore, MD, USA",2022,https://proceedings.mlr.press/v162/abbas22b.html
An Initial Alignment between Neural Network and Target is Needed for Gradient Descent to Learn.,"Emmanuel Abbe, Elisabetta Cornacchia, Jan Hazla, Christopher Marquis","39th ICML 2022: Baltimore, MD, USA",2022,https://proceedings.mlr.press/v162/abbe22a.html
Active Sampling for Min-Max Fairness.,"Jacob D. Abernethy, Pranjal Awasthi, Matthäus Kleindessner, Jamie Morgenstern, Chris Russell, Jie Zhang","39th ICML 2022: Baltimore, MD, USA",2022,https://proceedings.mlr.press/v162/abernethy22a.html
Meaningfully debugging model mistakes using conceptual counterfactual explanations.,"Abubakar Abid, Mert Yüksekgönül, James Zou","39th ICML 2022: Baltimore, MD, USA",2022,https://proceedings.mlr.press/v162/abid22a.html
Batched Dueling Bandits.,"Arpit Agarwal, Rohan Ghuge, Viswanath Nagarajan","39th ICML 2022: Baltimore, MD, USA",2022,https://proceedings.mlr.press/v162/agarwal22a.html
Hierarchical Shrinkage: Improving the accuracy and interpretability of tree-based models.,"Abhineet Agarwal, Yan Shuo Tan, Omer Ronen, Chandan Singh, Bin Yu","39th ICML 2022: Baltimore, MD, USA",2022,https://proceedings.mlr.press/v162/agarwal22b.html
Deep equilibrium networks are sensitive to initialization statistics.,"Atish Agarwala, Samuel S. Schoenholz","39th ICML 2022: Baltimore, MD, USA",2022,https://proceedings.mlr.press/v162/agarwala22a.html
Learning of Cluster-based Feature Importance for Electronic Health Record Time-series.,"Henrique Aguiar, Mauro D. Santos, Peter J. Watkinson, Tingting Zhu","39th ICML 2022: Baltimore, MD, USA",2022,https://proceedings.mlr.press/v162/aguiar22a.html
On the Convergence of the Shapley Value in Parametric Bayesian Learning Games.,"Lucas Agussurja, Xinyi Xu, Bryan Kian Hsiang Low","39th ICML 2022: Baltimore, MD, USA",2022,https://proceedings.mlr.press/v162/agussurja22a.html
Individual Preference Stability for Clustering.,"Saba Ahmadi, Pranjal Awasthi, Samir Khuller, Matthäus Kleindessner, Jamie Morgenstern, Pattara Sukprasert, Ali Vakilian","39th ICML 2022: Baltimore, MD, USA",2022,https://proceedings.mlr.press/v162/ahmadi22a.html
