title,authors,conference_name,conference_year,link
A New Representation of Successor Features for Transfer across Dissimilar Environments.,"Majid Abdolshah, Hung Le, Thommen George Karimpanal, Sunil Gupta, Santu Rana, Svetha Venkatesh",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/abdolshah21a.html
Massively Parallel and Asynchronous Tsetlin Machine Architecture Supporting Almost Constant-Time Scaling.,"Kuruge Darshana Abeyrathna, Bimal Bhattarai, Morten Goodwin, Saeed Rahimi Gorji, Ole-Christoffer Granmo, Lei Jiao, Rupsa Saha, Rohan Kumar Yadav",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/abeyrathna21a.html
Debiasing Model Updates for Improving Personalized Federated Training.,"Durmus Alp Emre Acar, Yue Zhao, Ruizhao Zhu, Ramon Matas Navarro, Matthew Mattina, Paul N. Whatmough, Venkatesh Saligrama",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/acar21a.html
Memory Efficient Online Meta Learning.,"Durmus Alp Emre Acar, Ruizhao Zhu, Venkatesh Saligrama",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/acar21b.html
Robust Testing and Estimation under Manipulation Attacks.,"Jayadev Acharya, Ziteng Sun, Huanyu Zhang",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/acharya21a.html
GP-Tree: A Gaussian Process Classifier for Few-Shot Incremental Learning.,"Idan Achituve, Aviv Navon, Yochai Yemini, Gal Chechik, Ethan Fetaya",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/achituve21a.html
f-Domain Adversarial Learning: Theory and Algorithms.,"David Acuna, Guojun Zhang, Marc T. Law, Sanja Fidler",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/acuna21a.html
Towards Rigorous Interpretations: a Formalisation of Feature Attribution.,"Darius Afchar, Vincent Guigue, Romain Hennequin",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/afchar21a.html
Acceleration via Fractal Learning Rate Schedules.,"Naman Agarwal, Surbhi Goel, Cyril Zhang",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/agarwal21a.html
A Regret Minimization Approach to Iterative Learning Control.,"Naman Agarwal, Elad Hazan, Anirudha Majumdar, Karan Singh",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/agarwal21b.html
Towards the Unification and Robustness of Perturbation and Gradient Based Explanations.,"Sushant Agarwal, Shahin Jabbari, Chirag Agarwal, Sohini Upadhyay, Steven Wu, Himabindu Lakkaraju",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/agarwal21c.html
Label Inference Attacks from Log-loss Scores.,"Abhinav Aggarwal, Shiva Prasad Kasiviswanathan, Zekun Xu, Oluwaseyi Feyisetan, Nathanael Teissier",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/aggarwal21a.html
Deep Kernel Processes.,"Laurence Aitchison, Adam X. Yang, Sebastian W. Ober",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/aitchison21a.html
How Does Loss Function Affect Generalization Performance of Deep Learning? Application to Human Age Estimation.,"Ali Akbari, Muhammad Awais, Manijeh Bashar, Josef Kittler",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/akbari21a.html
On Learnability via Gradient Method for Two-Layer ReLU Neural Networks in Teacher-Student Setting.,"Shunta Akiyama, Taiji Suzuki",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/akiyama21a.html
Slot Machines: Discovering Winning Combinations of Random Weights in Neural Networks.,"Maxwell Mbabilla Aladago, Lorenzo Torresani",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/aladago21a.html
A large-scale benchmark for few-shot program induction and synthesis.,"Ferran Alet, Javier Lopez-Contreras, James Koppel, Maxwell I. Nye, Armando Solar-Lezama, Tomás Lozano-Pérez, Leslie Pack Kaelbling, Joshua B. Tenenbaum",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/alet21a.html
Robust Pure Exploration in Linear Bandits with Limited Budget.,"Ayya Alieva, Ashok Cutkosky, Abhimanyu Das",38th ICML 2021: Virtual Event,2021,http://proceedings.mlr.press/v139/alieva21a.html
