前区号码,出现次数
1,12
2,14
3,15
4,14
5,17
6,18
7,18
8,20
9,11
10,16
11,16
12,15
13,9
14,8
15,14
16,13
17,10
18,14
19,10
20,25
21,21
22,22
23,12
24,9
25,16
26,7
27,11
28,13
29,20
30,13
31,16
32,12
33,12
34,15
35,12
