期号,详情页链接,开奖日期,星期,中奖号码_前区,中奖号码_后区,出球顺序_前区,出球顺序_后区,总销售额(元),奖池奖金(元),1等奖_基本注数,1等奖_基本单注奖金(元),1等奖_基本总奖金(元),1等奖_追加注数,1等奖_追加单注奖金(元),1等奖_追加总奖金(元),1等奖_派奖注数,1等奖_派奖单注金额(元),1等奖_派奖总金额(元),1等奖_追加派奖注数,1等奖_追加派奖单注金额(元),1等奖_追加派奖总金额(元),2等奖_基本注数,2等奖_基本单注奖金(元),2等奖_基本总奖金(元),2等奖_追加注数,2等奖_追加单注奖金(元),2等奖_追加总奖金(元),2等奖_派奖注数,2等奖_派奖单注金额(元),2等奖_派奖总金额(元),2等奖_追加派奖注数,2等奖_追加派奖单注金额(元),2等奖_追加派奖总金额(元),3等奖_基本注数,3等奖_基本单注奖金(元),3等奖_基本总奖金(元),3等奖_追加注数,3等奖_追加单注奖金(元),3等奖_追加总奖金(元),4等奖_基本注数,4等奖_基本单注奖金(元),4等奖_基本总奖金(元),4等奖_追加注数,4等奖_追加单注奖金(元),4等奖_追加总奖金(元),5等奖_基本注数,5等奖_基本单注奖金(元),5等奖_基本总奖金(元),5等奖_追加注数,5等奖_追加单注奖金(元),5等奖_追加总奖金(元),6等奖_基本注数,6等奖_基本单注奖金(元),6等奖_基本总奖金(元),6等奖_追加注数,6等奖_追加单注奖金(元),6等奖_追加总奖金(元),7等奖_基本注数,7等奖_基本单注奖金(元),7等奖_基本总奖金(元),7等奖_追加注数,7等奖_追加单注奖金(元),7等奖_追加总奖金(元),8等奖_基本注数,8等奖_基本单注奖金(元),8等奖_基本总奖金(元),8等奖_追加注数,8等奖_追加单注奖金(元),8等奖_追加总奖金(元),9等奖_基本注数,9等奖_基本单注奖金(元),9等奖_基本总奖金(元),9等奖_追加注数,9等奖_追加单注奖金(元),9等奖_追加总奖金(元)
25066,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25066,2025-06-14,星期六,15 18 27 28 34,03 06,34 27 15 28 18,03 06,339059066,1579075869,3,10000000,30000000,0,0,0,0,0,0,0,0,0,95,178917,16997115,19,143133,2719527,0,0,0,0,0,0,217,10000,2170000,0,0,0,917,3000,2751000,0,0,0,15396,300,4618800,0,0,0,30448,200,6089600,0,0,0,34422,100,3442200,0,0,0,846893,15,12703395,0,0,0,8948548,5,44742740,0,0,0
25065,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25065,2025-06-11,星期三,07 25 32 33 35,04 09,33 25 35 32 07,09 04,322427160,1539171327,4,10000000,40000000,1,8000000,8000000,0,0,0,0,0,0,103,123549,12725547,21,98839,2075619,0,0,0,0,0,0,404,10000,4040000,0,0,0,1243,3000,3729000,0,0,0,17528,300,5258400,0,0,0,49810,200,9962000,0,0,0,33523,100,3352300,0,0,0,1066743,15,16001145,0,0,0,9673683,5,48368415,0,0,0
25064,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25064,2025-06-09,星期一,05 10 18 20 34,01 08,20 18 10 34 05,01 08,328463659,1534694449,2,10000000,20000000,0,0,0,0,0,0,0,0,0,107,160826,17208382,25,128660,3216500,0,0,0,0,0,0,276,10000,2760000,0,0,0,773,3000,2319000,0,0,0,14872,300,4461600,0,0,0,22908,200,4581600,0,0,0,34021,100,3402100,0,0,0,728899,15,10933485,0,0,0,7929704,5,39648520,0,0,0
25063,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25063,2025-06-07,星期六,05 18 26 29 32,07 10,05 29 32 18 26,07 10,353640087,1482278557,11,7822918,86052098,2,6258334,12516668,0,0,0,0,0,0,102,122650,12510300,32,98120,3139840,0,0,0,0,0,0,309,10000,3090000,0,0,0,1337,3000,4011000,0,0,0,22410,300,6723000,0,0,0,47408,200,9481600,0,0,0,49272,100,4927200,0,0,0,1151855,15,17277825,0,0,0,11327092,5,56635460,0,0,0
25062,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25062,2025-06-04,星期三,14 20 27 28 29,06 10,20 28 27 29 14,10 06,331453922,1525360041,3,10000000,30000000,1,8000000,8000000,0,0,0,0,0,0,104,172762,17967248,20,138209,2764180,0,0,0,0,0,0,212,10000,2120000,0,0,0,1025,3000,3075000,0,0,0,15868,300,4760400,0,0,0,22695,200,4539000,0,0,0,37620,100,3762000,0,0,0,723621,15,10854315,0,0,0,7813567,5,39067835,0,0,0
25061,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25061,2025-06-02,星期一,02 11 16 23 28,05 10,28 02 16 23 11,05 10,326041766,1489857621,10,8139831,81398310,3,6511864,19535592,0,0,0,0,0,0,141,99022,13962102,40,79217,3168680,0,0,0,0,0,0,361,10000,3610000,0,0,0,1169,3000,3507000,0,0,0,20846,300,6253800,0,0,0,34045,200,6809000,0,0,0,48538,100,4853800,0,0,0,869831,15,13047465,0,0,0,8762317,5,43811585,0,0,0
25060,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25060,2025-05-31,星期六,12 14 19 33 34,01 07,34 12 19 33 14,01 07,344759819,1530054632,2,10000000,20000000,1,8000000,8000000,0,0,0,0,0,0,97,205497,19933209,25,164397,4109925,0,0,0,0,0,0,213,10000,2130000,0,0,0,532,3000,1596000,0,0,0,13526,300,4057800,0,0,0,16339,200,3267800,0,0,0,35511,100,3551100,0,0,0,609299,15,9139485,0,0,0,7180566,5,35902830,0,0,0
25059,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25059,2025-05-28,星期三,03 09 10 11 26,01 02,26 10 11 09 03,01 02,330253002,1472810541,4,10000000,40000000,0,0,0,0,0,0,0,0,0,165,81352,13423080,34,65081,2212754,0,0,0,0,0,0,436,10000,4360000,0,0,0,1588,3000,4764000,0,0,0,26783,300,8034900,0,0,0,40763,200,8152600,0,0,0,67511,100,6751100,0,0,0,978863,15,14682945,0,0,0,8801243,5,44006215,0,0,0
25058,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25058,2025-05-26,星期一,06 11 15 21 23,01 07,21 11 23 15 06,07 01,337041717,1457374217,3,10000000,30000000,0,0,0,0,0,0,0,0,0,147,119413,17553711,28,95530,2674840,0,0,0,0,0,0,287,10000,2870000,0,0,0,840,3000,2520000,0,0,0,19118,300,5735400,0,0,0,22157,200,4431400,0,0,0,50735,100,5073500,0,0,0,777750,15,11666250,0,0,0,8181130,5,40905650,0,0,0
25057,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25057,2025-05-24,星期六,09 10 11 12 29,01 10,12 10 29 11 09,10 01,379533383,1415654588,4,10000000,40000000,0,0,0,1,10000000,10000000,0,0,0,191,100021,19104011,45,80016,3600720,156,21551,3361956,37,17242,637954,473,10000,4730000,0,0,0,790,3000,2370000,0,0,0,24904,300,7471200,0,0,0,25127,200,5025400,0,0,0,63346,100,6334600,0,0,0,858017,15,12870255,0,0,0,8793123,5,43965615,0,0,0
